Mid-year population estimates: Scotland by single year of age and sex: 1981 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persons (continued),,,
Persons,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
2014,"5,347,600","56,183","57,384","59,003","61,001","58,286","59,796","59,709","57,299","56,156","55,761","54,683","53,049","52,784","55,000","56,383","58,564","59,834","61,823","62,162","65,888","69,786","71,902","76,618","76,858","73,377","72,857","73,353","70,921","70,384","70,043","67,814","68,824","69,720","69,328","67,996","65,631","61,125","60,145","63,706","64,350","65,320","69,361","73,776","76,693","75,738","78,763","80,294","80,936","80,366","83,319","82,322","82,095","80,196","78,292","75,730","75,220","73,094","71,253","69,002","66,084","65,228","64,048","61,705","62,338","62,491","64,011","65,877","71,230","53,826","50,633","51,451","49,318","45,082","41,612","42,172","40,966","39,522","37,191","35,469","33,266","30,565","28,208","27,181","24,593","21,896","19,405","16,641","14,850","13,098","10,835","39,552",
2015,"5,373,000","56,001","56,678","57,813","59,341","61,341","58,497","60,030","59,905","57,571","56,353","55,960","54,864","53,191","52,935","55,192","56,590","58,760","60,074","62,576","65,983","68,431","71,367","73,141","77,485","77,246","74,147","73,527","73,839","71,408","70,965","70,533","68,276","69,258","70,132","69,701","68,314","66,079","61,363","60,428","63,953","64,459","65,347","69,421","73,863","76,735","75,732","78,720","80,228","80,816","80,322","83,200","82,142","81,807","79,957","78,187","75,506","74,932","72,849","70,878","68,655","65,720","64,782","63,577","61,183","61,736","61,768","63,190","65,005","70,181","52,811","49,594","50,402","48,067","43,865","40,398","40,800","39,510","37,998","35,493","33,768","31,477","28,857","26,397","25,116","22,494","19,821","17,425","14,672","12,855","11,239","39,795",
2016,"5,404,700","55,516","56,584","57,165","58,232","59,741","61,695","58,801","60,336","60,184","57,846","56,634","56,142","55,083","53,398","53,121","55,439","56,863","58,981","60,951","66,426","68,524","70,098","72,575","74,422","78,348","78,055","74,943","74,420","74,513","72,193","71,566","71,086","68,875","69,755","70,631","70,100","68,696","66,397","61,788","60,772","64,126","64,558","65,486","69,586","73,882","76,789","75,703","78,786","80,211","80,762","80,186","83,067","81,988","81,648","79,802","77,970","75,289","74,614","72,473","70,475","68,252","65,332","64,365","62,976","60,627","61,076","61,082","62,320","64,019","69,027","51,771","48,550","49,278","46,793","42,627","39,132","39,436","37,987","36,463","33,828","31,999","29,683","27,085","24,519","23,132","20,572","17,850","15,532","12,875","11,149","41,067",
2017,"5,424,800","53,553","55,892","56,790","57,361","58,510","60,001","61,895","59,011","60,624","60,420","58,057","56,840","56,357","55,243","53,600","53,288","55,594","57,019","59,765","64,374","68,681","69,606","70,694","72,975","74,653","78,655","78,483","75,362","74,881","74,867","72,571","71,944","71,361","69,157","70,047","70,904","70,398","68,961","66,716","62,074","60,895","64,175","64,675","65,644","69,644","73,896","76,713","75,686","78,705","80,070","80,731","80,065","82,909","81,817","81,527","79,580","77,724","75,091","74,304","72,187","70,127","67,858","64,843","63,803","62,380","60,019","60,326","60,324","61,432","62,965","67,803","50,692","47,498","48,083","45,454","41,333","37,747","37,972","36,431","34,779","32,213","30,161","27,831","25,138","22,550","21,129","18,435","15,840","13,646","11,041","41,725",
2018,"5,438,100","52,310","53,852","56,084","57,065","57,551","58,712","60,252","62,094","59,207","60,824","60,578","58,240","57,028","56,549","55,395","53,761","53,470","55,826","57,923","63,584","66,553","69,638","70,320","71,115","72,998","74,452","78,687","78,594","75,598","75,009","75,210","72,799","72,184","71,623","69,442","70,265","71,110","70,470","69,208","66,944","62,120","60,952","64,225","64,595","65,630","69,643","73,805","76,696","75,548","78,595","79,961","80,572","79,878","82,671","81,605","81,321","79,351","77,374","74,742","73,872","71,830","69,664","67,359","64,232","63,221","61,710","59,315","59,478","59,481","60,429","61,782","66,483","49,554","46,406","46,740","44,032","39,818","36,270","36,307","34,675","32,934","30,268","28,137","25,872","23,047","20,599","18,979","16,404","13,787","11,680","41,927",
2019,"5,463,300","50,772","52,734","54,266","56,539","57,404","57,837","59,032","60,560","62,408","59,479","61,119","60,860","58,512","57,366","56,817","55,692","54,052","53,713","56,834","61,667","65,838","67,735","70,870","71,430","71,583","73,182","74,857","79,127","79,100","75,989","75,648","75,743","73,301","72,691","72,080","69,835","70,584","71,428","70,962","69,713","67,127","62,229","61,101","64,358","64,617","65,725","69,677","73,842","76,666","75,548","78,567","79,919","80,362","79,788","82,454","81,429","81,224","79,062","77,036","74,372","73,504","71,388","69,244","66,867","63,690","62,599","60,993","58,595","58,657","58,600","59,394","60,782","65,059","48,394","45,227","45,388","42,595","38,406","34,798","34,764","33,039","31,191","28,436","26,237","23,904","21,126","18,701","17,001","14,569","12,032","43,658",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Males (continued),,,
Males,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
1981,"2,494,860","35,263","34,142","33,070","30,363","30,380","33,216","33,496","34,533","37,219","39,689","42,488","42,650","44,582","45,545","46,819","46,229","48,685","47,385","46,227","45,619","44,538","43,882","42,370","40,591","39,140","38,160","36,135","35,827","35,202","33,821","34,815","35,130","36,297","37,814","41,185","31,863","30,567","31,809","31,090","29,290","27,789","28,926","29,120","29,259","28,523","28,503","28,312","28,173","27,904","28,817","28,804","28,552","28,386","28,082","28,114","28,780","27,977","28,060","27,169","28,581","28,293","29,191","20,397","19,464","20,772","21,449","22,613","22,174","21,551","20,436","19,297","18,446","17,453","16,190","14,575","13,257","11,868","10,509","9,246","7,975","6,783","5,731","4,499","3,633","3,019","2,471","2,042","1,639","1,250",968,"2,712",
1982,"2,487,335","34,004","35,011","33,963","32,932","30,336","30,346","33,124","33,369","34,367","37,043","39,537","42,220","42,438","44,348","45,380","46,606","45,715","48,201","47,000","45,953","45,553","44,261","43,419","41,711","39,956","38,512","37,744","35,821","35,555","34,855","33,562","34,565","34,951","36,031","37,577","40,943","31,628","30,396","31,556","30,938","29,149","27,644","28,755","28,997","29,127","28,315","28,319","28,117","27,934","27,635","28,561","28,569","28,281","28,069","27,759","27,759","28,381","27,485","27,568","26,629","28,013","27,644","28,494","19,818","18,881","20,130","20,697","21,749","21,205","20,504","19,381","18,215","17,289","16,254","15,013","13,388","12,061","10,741","9,445","8,225","7,007","5,885","4,915","3,786","3,029","2,486","1,985","1,642","1,291",950,"2,732",
1983,"2,479,075","33,411","33,690","34,821","33,747","32,788","30,258","30,262","33,050","33,233","34,266","36,989","39,422","42,012","42,233","44,151","45,118","46,159","45,109","47,550","46,525","45,782","45,271","43,890","42,783","41,043","39,450","37,940","37,513","35,416","35,188","34,596","33,354","34,224","34,678","35,763","37,279","40,738","31,423","30,229","31,297","30,804","28,961","27,510","28,596","28,895","28,934","28,239","28,126","27,908","27,769","27,388","28,304","28,315","27,954","27,754","27,367","27,362","27,888","27,005","27,000","26,018","27,420","26,937","27,760","19,191","18,245","19,414","19,899","20,856","20,241","19,484","18,294","17,117","16,154","15,088","13,822","12,259","10,931","9,659","8,461","7,242","6,128","5,100","4,194","3,157","2,532","2,049","1,609","1,318","1,002","2,764",
1984,"2,474,623","32,620","33,177","33,516","34,695","33,680","32,746","30,185","30,209","32,935","33,216","34,196","36,878","39,307","41,866","42,053","43,982","44,744","45,717","44,629","47,210","46,472","45,559","44,882","43,311","42,279","40,631","39,001","37,794","37,217","35,229","34,927","34,450","33,075","34,082","34,521","35,644","37,104","40,570","31,296","30,144","31,251","30,681","28,870","27,395","28,511","28,723","28,874","28,108","27,947","27,714","27,593","27,196","28,088","28,068","27,662","27,474","26,984","26,964","27,427","26,578","26,512","25,476","26,813","26,223","27,038","18,626","17,633","18,656","19,098","19,904","19,249","18,476","17,224","16,042","15,042","13,918","12,635","11,108","9,857","8,638","7,474","6,347","5,340","4,376","3,553","2,627","2,071","1,658","1,266","1,036","2,850",
1985,"2,469,514","33,374","32,323","32,887","33,291","34,533","33,537","32,727","30,144","30,122","32,822","33,125","34,089","36,778","39,147","41,703","41,858","43,620","44,329","45,183","44,188","46,975","46,033","44,950","44,090","42,667","41,661","40,096","38,708","37,498","36,916","35,033","34,725","34,347","32,875","33,930","34,412","35,502","36,952","40,436","31,231","30,116","31,197","30,610","28,796","27,279","28,344","28,610","28,751","27,972","27,817","27,530","27,433","27,005","27,849","27,837","27,370","27,166","26,555","26,575","27,019","26,066","25,949","24,918","26,177","25,507","26,257","17,967","16,950","17,941","18,298","18,917","18,214","17,368","16,085","14,914","13,918","12,779","11,524","10,037","8,831","7,679","6,583","5,533","4,632","3,734","2,984","2,144","1,670","1,323",977,"2,990",
1986,"2,462,311","34,047","33,140","32,140","32,757","33,223","34,388","33,443","32,608","30,131","30,083","32,700","33,010","33,949","36,681","39,011","41,506","41,584","43,239","43,777","44,893","44,078","46,513","45,300","44,130","43,414","42,145","41,040","39,771","38,357","37,085","36,555","34,781","34,488","34,092","32,568","33,786","34,151","35,299","36,721","40,191","31,082","29,960","31,073","30,527","28,688","27,086","28,209","28,429","28,520","27,823","27,606","27,320","27,174","26,737","27,533","27,516","27,043","26,707","26,104","26,097","26,518","25,570","25,350","24,248","25,468","24,704","25,423","17,238","16,239","17,132","17,396","17,906","17,136","16,284","14,972","13,749","12,761","11,593","10,343","8,913","7,820","6,716","5,709","4,754","3,897","3,086","2,424","1,701","1,303","1,009","2,940",
1987,"2,455,403","33,500","33,806","32,888","31,927","32,568","33,070","34,275","33,282","32,559","30,045","30,062","32,601","32,862","33,858","36,534","38,901","41,333","41,193","42,736","43,421","44,738","43,682","45,842","44,364","43,265","42,581","41,630","40,611","39,288","37,800","36,622","36,242","34,475","34,254","33,706","32,310","33,557","33,985","35,089","36,566","39,961","30,955","29,811","30,940","30,379","28,471","26,997","28,056","28,275","28,328","27,642","27,420","27,128","26,907","26,467","27,225","27,154","26,661","26,360","25,686","25,687","26,062","25,039","24,746","23,596","24,747","23,891","24,597","16,561","15,581","16,394","16,518","16,949","16,094","15,189","13,914","12,679","11,664","10,483","9,266","7,934","6,911","5,870","4,979","4,068","3,283","2,540","1,961","1,342","1,022","2,985",
1988,"2,444,319","34,131","33,098","33,522","32,581","31,678","32,337","32,915","34,136","33,118","32,537","29,946","30,016","32,422","32,715","33,738","36,370","38,654","40,827","40,604","42,313","43,125","44,118","42,694","44,397","43,085","42,068","41,493","40,845","39,942","38,624","37,191","36,137","35,900","34,094","33,869","33,395","31,995","33,280","33,770","34,836","36,350","39,757","30,841","29,633","30,847","30,110","28,281","26,797","27,872","28,086","28,110","27,454","27,233","26,883","26,633","26,210","26,934","26,819","26,333","25,993","25,256","25,235","25,590","24,551","24,136","22,960","23,980","23,071","23,656","15,853","14,877","15,612","15,596","15,955","15,053","14,119","12,858","11,641","10,638","9,457","8,268","7,031","6,035","5,065","4,258","3,448","2,734","2,069","1,526","1,040","3,059",
1989,"2,443,165","32,885","34,156","33,129","33,597","32,617","31,753","32,376","32,964","34,200","33,191","32,602","30,054","30,083","32,417","32,719","33,696","36,212","38,222","40,295","40,217","42,004","42,623","43,389","41,610","43,254","42,131","41,211","41,025","40,347","39,655","38,285","36,894","35,909","35,709","33,928","33,819","33,311","31,882","33,224","33,650","34,754","36,330","39,748","30,840","29,623","30,723","30,021","28,219","26,703","27,808","27,956","27,962","27,314","27,111","26,743","26,430","25,983","26,661","26,571","26,047","25,659","24,929","24,797","25,128","24,028","23,550","22,382","23,238","22,330","22,759","15,179","14,201","14,836","14,737","14,969","14,025","13,102","11,824","10,641","9,694","8,540","7,368","6,158","5,204","4,359","3,594","2,888","2,250","1,664","1,186","3,154",
1990,"2,443,865","32,541","32,794","34,184","33,208","33,647","32,657","31,822","32,460","33,045","34,281","33,296","32,674","30,169","30,150","32,373","32,735","33,515","35,965","37,910","40,285","40,299","41,800","42,132","42,574","40,901","42,443","41,565","40,834","40,731","40,188","39,530","38,251","36,828","35,747","35,653","33,946","33,815","33,297","31,866","33,202","33,596","34,779","36,338","39,688","30,835","29,527","30,681","29,883","28,083","26,571","27,713","27,840","27,839","27,160","26,960","26,561","26,213","25,697","26,397","26,236","25,651","25,310","24,452","24,288","24,595","23,383","22,863","21,640","22,406","21,454","21,710","14,453","13,434","13,953","13,785","13,899","12,907","11,984","10,711","9,574","8,660","7,541","6,409","5,253","4,425","3,603","2,979","2,263","1,821","1,278","3,271",
1991,"2,444,515","33,658","32,227","32,676","34,103","33,143","33,613","32,643","31,830","32,459","33,041","34,304","33,322","32,668","30,202","30,173","32,327","32,486","33,200","35,570","37,894","40,461","40,199","41,367","41,563","41,959","40,329","41,802","41,163","40,471","40,331","39,901","39,365","38,077","36,596","35,652","35,592","33,801","33,778","33,201","31,753","33,156","33,549","34,710","36,291","39,652","30,680","29,464","30,572","29,755","27,949","26,423","27,567","27,694","27,648","26,976","26,787","26,308","25,900","25,450","26,068","25,890","25,270","24,900","23,920","23,761","23,998","22,727","22,094","20,907","21,492","20,567","20,673","13,693","12,701","13,068","12,853","12,944","11,874","11,002","9,724","8,590","7,696","6,601","5,592","4,496","3,776","3,046","2,489","1,853","1,490","3,329",
1992,"2,445,272","33,922","33,472","32,198","32,637","34,030","33,121","33,544","32,646","31,824","32,306","32,900","34,217","33,237","32,502","29,960","29,897","31,944","32,164","32,837","36,129","38,134","40,289","39,703","40,597","40,788","41,448","39,856","41,495","40,917","40,120","40,049","39,672","39,076","37,902","36,470","35,635","35,516","33,756","33,774","33,204","31,819","33,128","33,543","34,740","36,280","39,522","30,645","29,401","30,440","29,679","27,825","26,350","27,444","27,549","27,517","26,789","26,579","26,064","25,654","25,129","25,721","25,459","24,803","24,383","23,366","23,129","23,302","21,959","21,287","20,044","20,520","19,601","19,606","12,913","11,955","12,099","11,929","11,955","10,870","9,981","8,729","7,667","6,785","5,687","4,801","3,808","3,166","2,518","2,026","1,514","3,704",
1993,"2,448,419","32,624","33,843","33,430","32,291","32,654","34,040","33,170","33,582","32,747","31,830","32,190","32,809","34,152","33,181","32,352","29,746","29,604","31,600","31,772","33,546","36,328","38,106","39,963","39,220","40,034","40,357","41,145","39,641","41,283","40,678","40,002","40,024","39,590","38,984","37,871","36,509","35,689","35,481","33,791","33,846","33,275","31,867","33,143","33,599","34,743","36,238","39,509","30,630","29,328","30,419","29,593","27,734","26,264","27,334","27,413","27,372","26,609","26,363","25,776","25,348","24,780","25,318","24,998","24,264","23,800","22,777","22,463","22,520","21,152","20,445","19,142","19,559","18,653","18,495","12,096","11,061","11,157","10,969","10,890","9,848","8,984","7,755","6,746","5,934","4,920","4,070","3,186","2,603","2,028","1,608","3,936",
1994,"2,453,342","32,108","32,605","33,837","33,474","32,402","32,700","34,107","33,263","33,670","32,920","31,850","32,168","32,675","34,132","33,176","32,250","29,555","29,331","31,405","32,578","33,973","36,332","37,911","39,375","38,769","39,633","39,979","41,016","39,506","41,123","40,524","40,025","39,974","39,509","38,911","37,883","36,597","35,821","35,498","33,837","33,964","33,284","31,994","33,171","33,685","34,759","36,251","39,452","30,627","29,270","30,352","29,538","27,654","26,134","27,208","27,236","27,155","26,356","26,114","25,498","25,010","24,432","24,861","24,477","23,682","23,204","22,055","21,708","21,682","20,282","19,598","18,247","18,549","17,669","17,391","11,250","10,278","10,300","10,038","9,870","8,836","8,043","6,799","5,863","5,045","4,204","3,420","2,612","2,098","1,613","4,122",
1995,"2,453,353","30,808","31,935","32,482","33,794","33,494","32,398","32,626","34,064","33,302","33,691","32,981","31,850","32,061","32,493","33,998","33,110","32,058","29,270","29,096","32,311","32,835","33,878","35,850","37,189","38,549","38,128","39,128","39,682","40,715","39,201","40,851","40,309","39,784","39,852","39,214","38,707","37,790","36,577","35,816","35,455","33,922","33,912","33,248","32,034","33,171","33,606","34,767","36,182","39,354","30,548","29,207","30,257","29,431","27,497","25,969","27,055","26,989","26,900","26,095","25,847","25,221","24,623","24,041","24,368","23,928","23,117","22,612","21,327","20,967","20,932","19,437","18,768","17,343","17,522","16,687","16,355","10,532","9,452","9,464","9,197","8,910","7,957","7,176","5,961","5,106","4,306","3,565","2,880","2,146","1,706","4,424",
1996,"2,447,020","30,016","30,705","31,747","32,413","33,630","33,455","32,381","32,600","33,979","33,259","33,602","32,967","31,757","31,869","32,312","33,876","32,901","31,740","28,930","29,860","32,449","32,627","33,257","34,890","36,237","37,792","37,415","38,638","39,185","40,246","38,835","40,512","39,971","39,624","39,572","39,019","38,427","37,594","36,447","35,652","35,318","33,843","33,818","33,183","32,000","33,056","33,522","34,661","36,049","39,178","30,411","29,104","30,096","29,228","27,352","25,788","26,788","26,691","26,638","25,767","25,518","24,886","24,186","23,553","23,845","23,337","22,465","21,918","20,614","20,118","20,036","18,540","17,821","16,414","16,515","15,684","15,264","9,742","8,674","8,595","8,281","7,978","7,056","6,254","5,172","4,374","3,666","2,947","2,381","1,682","4,625",
1997,"2,442,322","30,648","29,887","30,576","31,552","32,235","33,523","33,454","32,455","32,576","33,899","33,268","33,562","33,029","31,721","31,698","32,101","33,644","32,577","31,400","29,713","29,963","32,152","31,926","32,166","33,917","35,387","37,073","36,751","38,170","38,749","39,853","38,508","40,227","39,687","39,435","39,408","38,815","38,177","37,418","36,380","35,605","35,254","33,775","33,768","33,163","31,969","32,941","33,390","34,585","35,909","39,050","30,328","28,954","29,916","29,046","27,174","25,557","26,523","26,416","26,393","25,441","25,198","24,531","23,785","23,038","23,239","22,726","21,827","21,224","19,924","19,298","19,192","17,673","16,844","15,463","15,531","14,636","14,167","9,032","7,869","7,800","7,403","7,075","6,193","5,437","4,424","3,681","3,081","2,455","1,902","4,837",
1998,"2,438,991","29,525","30,540","29,868","30,533","31,452","32,147","33,414","33,414","32,510","32,519","33,869","33,256","33,479","33,065","31,676","31,551","31,753","33,307","32,304","32,327","29,928","29,677","31,531","31,012","31,233","33,097","34,547","36,491","36,264","37,687","38,327","39,562","38,273","39,971","39,421","39,307","39,317","38,580","37,937","37,300","36,375","35,613","35,199","33,708","33,708","33,095","31,953","32,872","33,371","34,519","35,806","38,899","30,220","28,836","29,786","28,919","26,921","25,370","26,321","26,174","26,161","25,105","24,868","24,111","23,363","22,595","22,686","22,133","21,190","20,510","19,187","18,517","18,298","16,839","15,936","14,511","14,495","13,590","13,096","8,311","7,179","7,004","6,584","6,261","5,458","4,703","3,815","3,102","2,549","1,997","5,201",
1999,"2,436,535","28,762","29,327","30,458","29,866","30,493","31,355","32,100","33,337","33,403","32,560","32,550","33,849","33,245","33,443","33,165","31,623","31,223","31,359","33,084","33,340","32,620","29,861","29,219","30,713","30,113","30,516","32,434","34,058","36,085","35,866","37,366","38,068","39,363","38,090","39,774","39,369","39,222","39,253","38,471","37,785","37,209","36,386","35,579","35,177","33,728","33,633","33,032","31,972","32,814","33,341","34,452","35,629","38,724","30,051","28,706","29,679","28,655","26,702","25,148","26,095","25,911","25,851","24,731","24,473","23,724","22,881","22,048","22,059","21,432","20,522","19,765","18,391","17,665","17,380","15,939","15,018","13,526","13,510","12,603","12,046","7,590","6,457","6,306","5,771","5,433","4,670","3,951","3,178","2,568","2,112","5,524",
2000,"2,431,926","27,576","28,602","29,160","30,358","29,760","30,367","31,205","31,978","33,235","33,398","32,576","32,568","33,850","33,269","33,413","33,199","31,446","31,020","31,210","33,888","33,788","32,554","29,510","28,394","29,734","29,327","29,822","31,970","33,555","35,650","35,482","37,070","37,713","38,992","37,886","39,611","39,184","39,098","39,138","38,296","37,638","37,030","36,315","35,528","35,164","33,701","33,553","33,004","31,896","32,735","33,267","34,357","35,518","38,512","29,925","28,594","29,392","28,445","26,426","24,915","25,812","25,581","25,534","24,342","24,061","23,323","22,360","21,538","21,432","20,755","19,787","19,029","17,598","16,814","16,428","15,033","14,126","12,594","12,428","11,650","11,046","6,870","5,769","5,588","5,021","4,726","4,000","3,316","2,568","2,086","5,944",
2001,"2,433,733","26,345","27,442","28,604","29,070","30,311","29,752","30,334","31,134","31,970","33,165","33,401","32,667","32,548","33,829","33,294","33,417","33,268","31,514","30,950","31,984","34,395","34,058","32,430","29,015","27,811","29,307","28,969","29,749","31,758","33,338","35,438","35,372","36,882","37,511","38,979","37,826","39,511","39,122","39,110","39,121","38,174","37,491","36,990","36,308","35,595","35,049","33,712","33,537","33,003","31,924","32,664","33,168","34,264","35,413","38,429","29,821","28,429","29,258","28,241","26,230","24,634","25,596","25,280","25,136","23,976","23,651","22,881","21,881","21,010","20,832","20,080","19,104","18,246","16,801","16,009","15,621","14,176","13,250","11,694","11,453","10,662","10,060","6,242","5,104","4,905","4,334","4,077","3,381","2,778","2,111","6,367",
2002,"2,435,635","26,115","26,481","27,595","28,699","29,175","30,386","29,912","30,445","31,231","31,967","33,148","33,494","32,569","32,412","33,635","33,041","33,199","32,866","31,088","31,519","32,387","34,406","34,002","32,059","28,733","27,891","29,247","29,067","29,781","31,707","33,327","35,350","35,301","36,753","37,254","38,765","37,756","39,425","38,997","39,037","39,231","38,289","37,533","37,064","36,280","35,593","35,010","33,654","33,538","32,952","31,867","32,616","33,062","34,175","35,259","38,258","29,629","28,252","29,061","27,954","25,977","24,333","25,225","24,912","24,696","23,562","23,137","22,340","21,335","20,433","20,189","19,385","18,368","17,444","15,945","15,152","14,726","13,257","12,361","10,788","10,496","9,711","9,138","5,602","4,515","4,295","3,728","3,477","2,841","2,264","6,504",
2003,"2,438,088","26,464","26,102","26,539","27,685","28,758","29,275","30,441","30,062","30,547","31,360","31,959","33,184","33,334","32,438","32,258","33,415","32,734","32,890","32,448","31,632","31,980","32,710","34,407","33,459","31,656","28,496","27,601","29,233","29,009","29,720","31,725","33,419","35,322","35,332","36,793","37,378","38,850","37,892","39,630","39,142","39,173","39,256","38,233","37,531","37,055","36,252","35,539","34,984","33,537","33,410","32,857","31,742","32,471","32,922","34,055","35,115","38,072","29,493","28,023","28,868","27,664","25,669","24,017","24,824","24,522","24,245","23,086","22,604","21,829","20,714","19,836","19,549","18,649","17,594","16,592","15,066","14,307","13,774","12,378","11,454","9,843","9,515","8,775","8,142","4,931","3,903","3,697","3,145","2,911","2,321","6,665",
2004,"2,446,603","27,629","26,518","26,167","26,713","27,835","28,870","29,466","30,545","30,288","30,691","31,484","31,998","33,244","33,280","32,379","32,212","33,267","32,434","32,611","33,103","32,073","32,332","32,698","34,011","33,183","31,380","28,276","27,601","29,155","29,108","29,848","31,818","33,668","35,415","35,376","36,960","37,595","38,983","38,128","39,793","39,326","39,319","39,346","38,311","37,544","37,039","36,192","35,538","34,986","33,510","33,380","32,815","31,690","32,420","32,862","33,901","35,021","37,938","29,315","27,832","28,662","27,427","25,413","23,698","24,477","24,169","23,810","22,644","22,083","21,288","20,081","19,204","18,845","17,962","16,774","15,784","14,261","13,467","12,842","11,489","10,556","8,934","8,566","7,881","7,217","4,319","3,364","3,114","2,666","2,416","6,770",
2005,"2,461,274","28,093","27,817","26,608","26,309","26,933","28,042","29,073","29,677","30,749","30,520","30,903","31,706","32,010","33,038","33,105","32,129","32,160","33,173","32,475","33,818","33,985","32,769","32,726","32,762","33,949","33,123","31,344","28,582","27,779","29,356","29,406","30,127","32,112","33,911","35,661","35,528","37,135","37,809","39,121","38,441","40,014","39,520","39,511","39,432","38,478","37,570","37,049","36,242","35,564","35,003","33,483","33,342","32,786","31,638","32,307","32,786","33,805","34,910","37,733","29,118","27,601","28,418","27,098","25,057","23,340","24,099","23,756","23,297","22,102","21,546","20,740","19,448","18,532","18,155","17,179","15,951","14,994","13,404","12,619","11,896","10,571","9,661","8,075","7,710","6,987","6,366","3,740","2,884","2,583","2,187","7,023",
2006,"2,475,064","28,202","28,119","27,771","26,701","26,424","27,062","28,242","29,207","29,757","30,855","30,643","30,996","31,779","31,988","32,934","32,962","32,196","32,349","33,489","33,922","34,632","34,489","32,638","32,810","33,019","33,957","32,944","31,531","28,688","27,973","29,597","29,650","30,436","32,265","34,171","35,899","35,698","37,326","38,082","39,364","38,619","40,201","39,633","39,687","39,534","38,496","37,498","37,055","36,237","35,603","34,872","33,402","33,216","32,691","31,533","32,182","32,646","33,624","34,687","37,501","28,920","27,343","28,126","26,746","24,656","22,965","23,641","23,310","22,743","21,557","20,962","20,109","18,781","17,856","17,474","16,387","15,156","14,115","12,524","11,804","11,005","9,713","8,777","7,250","6,873","6,186","5,590","3,197","2,381","2,139","7,094",
2007,"2,496,559","29,319","28,341","28,339","27,917","26,806","26,605","27,293","28,472","29,415","29,976","31,073","30,929","31,166","31,917","32,077","33,012","33,045","32,882","32,921","35,123","34,633","34,284","34,154","33,063","33,072","33,458","34,106","33,305","31,848","29,070","28,510","30,123","30,105","30,880","32,723","34,549","36,296","35,928","37,611","38,428","39,599","38,792","40,447","39,799","39,803","39,684","38,536","37,544","37,150","36,281","35,624","34,874","33,398","33,161","32,579","31,431","32,093","32,496","33,458","34,484","37,279","28,742","27,009","27,750","26,446","24,331","22,553","23,206","22,867","22,259","21,005","20,329","19,487","18,143","17,208","16,729","15,627","14,288","13,301","11,714","10,938","10,087","8,877","7,930","6,509","6,038","5,414","4,772","2,707","2,003","7,004",
2008,"2,515,298","30,335","29,400","28,449","28,479","28,029","26,868","26,709","27,430","28,580","29,543","30,111","31,244","31,122","31,382","32,074","32,178","33,012","32,934","33,433","34,780","36,167","34,119","34,646","34,312","32,999","33,427","33,589","34,126","33,266","32,063","29,401","28,898","30,470","30,370","31,234","33,099","34,942","36,503","36,217","37,885","38,627","39,651","39,039","40,625","39,918","39,986","39,682","38,619","37,583","37,161","36,276","35,598","34,761","33,308","33,066","32,467","31,317","31,923","32,236","33,225","34,223","37,012","28,481","26,688","27,380","26,067","23,918","22,124","22,748","22,349","21,718","20,385","19,677","18,792","17,470","16,454","15,944","14,848","13,422","12,428","10,943","10,070","9,206","7,985","7,114","5,755","5,267","4,712","4,056","2,270","6,899",
2009,"2,531,969","30,517","30,369","29,342","28,460","28,518","28,036","26,882","26,751","27,538","28,698","29,703","30,266","31,352","31,366","31,503","32,241","32,426","34,380","34,940","34,193","34,297","35,305","34,538","34,860","34,236","33,083","33,391","33,669","34,134","33,301","32,295","29,662","29,056","30,647","30,632","31,539","33,430","35,195","36,696","36,458","38,026","38,748","39,703","39,143","40,710","39,944","40,045","39,702","38,606","37,547","37,136","36,251","35,556","34,681","33,178","32,955","32,341","31,177","31,689","32,068","32,965","33,901","36,660","28,143","26,298","27,010","25,597","23,492","21,685","22,167","21,726","21,170","19,771","19,039","18,100","16,747","15,714","15,168","14,044","12,570","11,590","10,050","9,273","8,345","7,185","6,330","5,036","4,594","4,058","3,390","7,040",
